match_id,season,team1,team2,venue,toss_winner,toss_decision,batting_first,bowling_first,team1_score,team2_score,winner,win_margin_runs,win_margin_wickets,is_playoff,home_team
63,2009,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field,Mumbai Indians,Punjab Kings,185,211,Punjab Kings,0,1,0,Mumbai Indians
64,2009,Chennai Super Kings,Royal Challengers Bengaluru,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,Royal Challengers Bengaluru,153,150,Chennai Super Kings,3,0,0,Chennai Super Kings
65,2009,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,151,174,Kolkata Knight Riders,23,0,0,Chennai Super Kings
66,2009,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,142,164,Rajasthan Royals,0,9,0,Chennai Super Kings
67,2009,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,172,150,Chennai Super Kings,0,3,0,Chennai Super Kings
68,2009,Chennai Super Kings,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,bat,Delhi Capitals,Chennai Super Kings,196,153,Chennai Super Kings,0,2,0,Chennai Super Kings
69,2009,Chennai Super Kings,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,Punjab Kings,157,156,Chennai Super Kings,1,0,0,Chennai Super Kings
70,2009,Royal Challengers Bengaluru,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Kolkata Knight Riders,188,135,Royal Challengers Bengaluru,53,0,0,Royal Challengers Bengaluru
71,2009,Royal Challengers Bengaluru,Rajasthan Royals,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Rajasthan Royals,Royal Challengers Bengaluru,191,177,Royal Challengers Bengaluru,0,8,0,Royal Challengers Bengaluru
72,2009,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Sunrisers Hyderabad,Royal Challengers Bengaluru,167,140,Royal Challengers Bengaluru,0,1,0,Royal Challengers Bengaluru
73,2009,Royal Challengers Bengaluru,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",Delhi Capitals,bat,Delhi Capitals,Royal Challengers Bengaluru,180,177,Royal Challengers Bengaluru,0,7,0,Royal Challengers Bengaluru
74,2009,Royal Challengers Bengaluru,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings,field,Royal Challengers Bengaluru,Punjab Kings,147,134,Royal Challengers Bengaluru,13,0,0,Royal Challengers Bengaluru
75,2009,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat,Rajasthan Royals,Kolkata Knight Riders,169,182,Rajasthan Royals,13,0,0,Kolkata Knight Riders
76,2009,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,170,177,Sunrisers Hyderabad,7,0,0,Kolkata Knight Riders
77,2009,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Delhi Capitals,Kolkata Knight Riders,167,158,Kolkata Knight Riders,0,1,0,Kolkata Knight Riders
78,2009,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat,Punjab Kings,Kolkata Knight Riders,147,177,Punjab Kings,30,0,0,Kolkata Knight Riders
79,2009,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,Sunrisers Hyderabad,209,173,Rajasthan Royals,36,0,0,Rajasthan Royals
80,2009,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,Delhi Capitals,148,177,Delhi Capitals,0,7,0,Rajasthan Royals
81,2009,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,Punjab Kings,153,180,Punjab Kings,0,2,0,Rajasthan Royals
82,2009,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Stadium, Hyderabad",Delhi Capitals,field,Sunrisers Hyderabad,Delhi Capitals,195,145,Sunrisers Hyderabad,50,0,0,Sunrisers Hyderabad
83,2009,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Stadium, Hyderabad",Punjab Kings,bat,Punjab Kings,Sunrisers Hyderabad,172,190,Punjab Kings,18,0,0,Sunrisers Hyderabad
84,2009,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Punjab Kings,bat,Punjab Kings,Delhi Capitals,205,188,Delhi Capitals,0,5,0,Delhi Capitals
85,2009,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,145,168,Chennai Super Kings,23,0,0,Mumbai Indians
86,2009,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Mumbai Indians,144,154,Royal Challengers Bengaluru,10,0,0,Mumbai Indians
87,2009,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,169,171,Kolkata Knight Riders,2,0,0,Mumbai Indians
88,2009,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,180,178,Mumbai Indians,0,4,0,Mumbai Indians
89,2009,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Mumbai Indians,194,172,Mumbai Indians,0,8,0,Mumbai Indians
90,2009,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,bat,Delhi Capitals,Mumbai Indians,222,166,Mumbai Indians,0,9,0,Mumbai Indians
91,2009,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Punjab Kings,186,144,Mumbai Indians,42,0,0,Mumbai Indians
92,2009,Chennai Super Kings,Royal Challengers Bengaluru,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,Royal Challengers Bengaluru,152,173,Royal Challengers Bengaluru,0,9,0,Chennai Super Kings
93,2009,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,169,178,Kolkata Knight Riders,0,4,0,Chennai Super Kings
94,2009,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,160,181,Rajasthan Royals,21,0,0,Chennai Super Kings
95,2009,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,field,Chennai Super Kings,Sunrisers Hyderabad,156,129,Chennai Super Kings,27,0,0,Chennai Super Kings
96,2009,Chennai Super Kings,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,Delhi Capitals,164,182,Delhi Capitals,0,7,0,Chennai Super Kings
97,2009,Chennai Super Kings,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,Punjab Kings,177,136,Chennai Super Kings,41,0,0,Chennai Super Kings
98,2009,Royal Challengers Bengaluru,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Kolkata Knight Riders,Royal Challengers Bengaluru,171,176,Kolkata Knight Riders,5,0,0,Royal Challengers Bengaluru
99,2009,Royal Challengers Bengaluru,Rajasthan Royals,"M. Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field,Royal Challengers Bengaluru,Rajasthan Royals,154,166,Rajasthan Royals,0,9,0,Royal Challengers Bengaluru
100,2009,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Sunrisers Hyderabad,173,138,Royal Challengers Bengaluru,35,0,0,Royal Challengers Bengaluru
101,2009,Royal Challengers Bengaluru,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Delhi Capitals,179,175,Royal Challengers Bengaluru,4,0,0,Royal Challengers Bengaluru
102,2009,Royal Challengers Bengaluru,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Punjab Kings,Royal Challengers Bengaluru,186,193,Punjab Kings,7,0,0,Royal Challengers Bengaluru
103,2009,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,142,144,Rajasthan Royals,2,0,0,Kolkata Knight Riders
104,2009,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,174,182,Sunrisers Hyderabad,8,0,0,Kolkata Knight Riders
105,2009,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,Delhi Capitals,183,248,Delhi Capitals,0,6,0,Kolkata Knight Riders
106,2009,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat,Punjab Kings,Kolkata Knight Riders,187,183,Kolkata Knight Riders,0,4,0,Kolkata Knight Riders
107,2009,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,177,191,Sunrisers Hyderabad,14,0,0,Rajasthan Royals
108,2009,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,Delhi Capitals,Rajasthan Royals,179,165,Rajasthan Royals,0,7,0,Rajasthan Royals
109,2009,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,Punjab Kings,Rajasthan Royals,157,156,Rajasthan Royals,0,3,0,Rajasthan Royals
110,2009,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Stadium, Hyderabad",Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,165,162,Sunrisers Hyderabad,0,1,0,Sunrisers Hyderabad
111,2009,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Stadium, Hyderabad",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Punjab Kings,218,122,Sunrisers Hyderabad,96,0,0,Sunrisers Hyderabad
112,2009,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Punjab Kings,field,Delhi Capitals,Punjab Kings,185,128,Delhi Capitals,57,0,0,Delhi Capitals
113,2010,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,164,186,Chennai Super Kings,0,4,0,Mumbai Indians
114,2010,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,field,Mumbai Indians,Royal Challengers Bengaluru,174,139,Mumbai Indians,35,0,0,Mumbai Indians
115,2010,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,159,177,Kolkata Knight Riders,0,9,0,Mumbai Indians
116,2010,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,166,157,Mumbai Indians,0,2,0,Mumbai Indians
117,2010,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,147,173,Sunrisers Hyderabad,26,0,0,Mumbai Indians
118,2010,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Delhi Capitals,Mumbai Indians,176,214,Delhi Capitals,38,0,0,Mumbai Indians
119,2010,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field,Mumbai Indians,Punjab Kings,133,167,Punjab Kings,0,9,0,Mumbai Indians
120,2010,Chennai Super Kings,Royal Challengers Bengaluru,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Chennai Super Kings,181,158,Chennai Super Kings,0,5,0,Chennai Super Kings
121,2010,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,159,156,Chennai Super Kings,0,9,0,Chennai Super Kings
122,2010,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,181,182,Rajasthan Royals,1,0,0,Chennai Super Kings
123,2010,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,154,148,Chennai Super Kings,0,6,0,Chennai Super Kings
